Haushaltsjahr;Haushaltsstufe 0;Fachgruppe;katkey;EXEMPLARANZ;PREIS;Bestellpreis
;;;1962569;1,00;18,00;18,00
;;;1962572;1,00;13,00;13,00
;;;1962574;1,00;12,00;12,00
;;;1962575;1,00;16,00;17,00
;;;1962584;1,00;11,00;12,00
;;;1962585;1,00;24,00;25,00
;;;1962587;1,00;15,00;15,00
;;;1962589;1,00;17,00;17,00
;;;1962590;1,00;13,00;13,00
;;;1962591;1,00;15,00;15,00
;;;1962599;1,00;19,00;20,00
;;;1962613;1,00;18,00;20,00
;;;1962639;1,00;17,00;17,00
;;;1962641;1,00;14,00;14,00
;;;1962717;1,00;14,00;16,00
;;;1962787;1,00;13,00;14,00
;;;1962791;1,00;17,00;18,00
;;;1962868;1,00;11,00;12,00
;;;1962896;1,00;12,00;13,00
;;;1962897;1,00;14,00;15,00
;;;1962901;1,00;18,00;20,00
;;;1962902;2,00;30,00;34,00
;;;1962911;1,00;20,00;22,00
;;;1962914;1,00;23,00;26,00
;;;1962916;1,00;18,00;20,00
;;;1962927;1,00;14,00;14,00
;;;1963040;1,00;19,00;20,00
;;;1963083;1,00;11,00;12,00
;;;1963132;1,00;18,00;22,00
;;;1963234;1,00;22,00;25,00
;;;1963240;1,00;20,00;20,00
;;;1963245;1,00;16,00;18,00
;;;1963254;1,00;14,00;16,00
;;;1963256;1,00;9,00;10,00
;;;1963261;1,00;4,00;4,00
;;;1963266;1,00;21,00;22,00
;;;1963273;1,00;19,00;20,00
;;;1963275;1,00;18,00;19,00
;;;1963276;1,00;14,00;16,00
;;;1963277;1,00;11,00;12,00
;;;1963281;1,00;13,00;15,00
;;;1963284;1,00;18,00;18,00
;;;1963285;1,00;12,00;12,00
;;;1963292;1,00;18,00;18,00
;;;1963304;1,00;19,00;20,00
;;;1963353;1,00;10,00;10,00
;;;1963354;1,00;15,00;15,00
;;;1963373;1,00;13,00;13,00
;;;1963392;1,00;13,00;14,00
;;;1963434;1,00;10,00;10,00
;;;1963436;1,00;15,00;15,00
;;;1963451;1,00;19,00;20,00
;;;1963470;1,00;12,00;12,00
;;;1963476;1,00;14,00;14,00
;;;1963478;1,00;12,00;12,00
;;;1963481;1,00;14,00;14,00
;;;1963528;1,00;14,00;16,00
;;;1963641;1,00;"0,00";"0,00"
;;;1963642;1,00;"0,00";"0,00"
;;;1963643;1,00;"0,00";"0,00"
;;;1963707;1,00;14,00;14,00
;;;1963742;1,00;12,00;13,00
;;;1963744;1,00;14,00;15,00
;;;1963747;1,00;12,00;13,00
;;;1963749;1,00;19,00;21,00
;;;1963750;1,00;11,00;12,00
;;;1963751;1,00;16,00;18,00
;;;1963752;1,00;13,00;14,00
;;;1963754;1,00;23,00;25,00
;;;1963759;1,00;21,00;22,00
;;;1963765;1,00;23,00;24,00
;;;1963766;1,00;21,00;22,00
;;;1963767;1,00;21,00;22,00
;;;1963897;1,00;25,00;26,00
;;;1963898;1,00;21,00;22,00
;;;1963902;1,00;24,00;25,00
;;;1963903;1,00;22,00;24,00
;;;1963914;1,00;12,00;13,00
;;;1963917;1,00;12,00;13,00
;;;1963919;1,00;11,00;12,00
;;;1963922;1,00;23,00;24,00
;;;1963923;1,00;17,00;18,00
;;;1963930;1,00;16,00;17,00
;;;1963951;1,00;15,00;17,00
;;;1963954;1,00;24,00;25,00
;;;1963955;2,00;44,00;46,00
;;;1963961;1,00;15,00;16,00
;;;1963971;1,00;11,00;12,00
;;;1963972;1,00;7,00;8,00
;;;1964015;1,00;7,00;8,00
;;;1964083;1,00;17,00;18,00
;;;1964089;1,00;16,00;16,00
;;;1964091;1,00;9,00;9,00
;;;1964092;1,00;16,00;16,00
;;;1964112;1,00;23,00;24,00
;;;1964113;1,00;20,00;22,00
;;;1964115;1,00;25,00;28,00
;;;1964117;1,00;22,00;24,00
;;;1964120;1,00;16,00;18,00
;;;1964122;1,00;31,00;34,00
;;;1964124;1,00;18,00;20,00
;;;1964125;1,00;20,00;22,00
;;;1964129;1,00;11,00;12,00
;;;1964131;1,00;9,00;10,00
;;;1964136;1,00;26,00;28,00
;;;1964137;1,00;23,00;24,00
;;;1964171;1,00;25,00;28,00
;;;1964186;1,00;19,00;20,00
;;;1964187;1,00;26,00;28,00
;;;1964211;1,00;19,00;20,00
;;;1964227;1,00;11,00;12,00
;;;1964234;1,00;17,00;18,00
;;;1964247;1,00;15,00;15,00
;;;1964260;1,00;15,00;15,00
;;;1964274;1,00;16,00;16,00
;;;1964278;1,00;17,00;17,00
;;;1964279;1,00;12,00;12,00
;;;1964280;1,00;14,00;14,00
;;;1964284;1,00;13,00;13,00
;;;1964301;1,00;18,00;20,00
;;;1964316;1,00;14,00;14,00
;;;1964320;1,00;15,00;15,00
;;;1964325;1,00;24,00;25,00
;;;1964329;1,00;16,00;17,00
;;;1964333;1,00;14,00;15,00
;;;1964335;1,00;17,00;18,00
;;;1964337;1,00;14,00;14,00
;;;1964340;1,00;24,00;25,00
;;;1964341;1,00;17,00;18,00
;;;1964342;1,00;21,00;22,00
;;;1964343;1,00;16,00;17,00
;;;1964344;1,00;19,00;20,00
;;;1964365;1,00;17,00;18,00
;;;1964373;1,00;22,00;23,00
;;;1964377;1,00;13,00;13,00
;;;1964393;1,00;16,00;16,00
;;;1964394;1,00;14,00;14,00
;;;1964396;1,00;16,00;16,00
;;;1964414;1,00;17,00;18,00
;;;1964418;1,00;19,00;20,00
;;;1964426;1,00;14,00;15,00
;;;1964441;1,00;23,00;24,00
;;;1964442;1,00;24,00;25,00
;;;1964459;1,00;11,00;11,00
;;;1964462;1,00;15,00;15,00
;;;1964463;1,00;10,00;10,00
;;;1964464;1,00;10,00;10,00
;;;1964481;1,00;15,00;15,00
;;;1964503;1,00;15,00;17,00
;;;1964504;1,00;21,00;22,00
;;;1964510;1,00;16,00;17,00
;;;1964512;1,00;16,00;16,00
;;;1964545;1,00;9,00;9,00
;;;1964546;1,00;9,00;9,00
;;;1964550;1,00;12,00;12,00
;;;1964551;1,00;12,00;12,00
;;;1964561;1,00;11,00;11,00
;;;1964575;1,00;22,00;25,00
;;;1964585;2,00;18,00;20,00
;;;1964591;1,00;23,00;25,00
;;;1964599;1,00;15,00;15,00
;;;1964615;1,00;19,00;20,00
;;;1964619;1,00;21,00;22,00
;;;1964620;1,00;25,00;26,00
;;;1964621;1,00;17,00;18,00
;;;1964664;1,00;23,00;24,00
